Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,First_diff,Nifty_Open,Nifty_High,Nifty_Low,Nifty_Close
22-03-2000,RELIANCE,EQ,237.9,245,248.5,241.2,243,243.4,244.58,4931613,1.21E+14,10.47,1551.05,1604.00,1551.05,1589.60
23-03-2000,RELIANCE,EQ,243.4,245.25,245.8,238.55,239.95,240.95,241.32,4286132,1.03E+14,-3.26,1590.3,1629.20,1544.50,1553.40
24-03-2000,RELIANCE,EQ,240.95,239.2,242.95,237.65,242.9,240.6,240.45,2637850,6.34E+13,-0.87,1554.2,1579.40,1540.45,1569.50
27-03-2000,RELIANCE,EQ,240.6,243,259.85,243,259.85,259.85,255.4,4141666,1.06E+14,14.95,1570.45,1593.30,1555.75,1562.90
28-03-2000,RELIANCE,EQ,259.85,263.1,280.65,263.1,280.65,280.65,272.15,7026761,1.91E+14,16.75,1563.3,1575.85,1527.55,1568.60
29-03-2000,RELIANCE,EQ,280.65,284.8,289.9,269,271.25,271.3,278.5,10277833,2.86E+14,6.35,1569.3,1609.40,1553.40,1558.20
30-03-2000,RELIANCE,EQ,271.3,269,293,258.3,293,293,278.4,17168324,4.78E+14,-0.1,1556.95,1557.85,1489.10,1549.50
31-03-2000,RELIANCE,EQ,293,297,316.45,280.1,316.45,316.45,303.93,19704184,5.99E+14,25.53,1545.55,1545.55,1493.90,1528.40
03-04-2000,RELIANCE,EQ,316.45,327.65,333.7,318.1,328,328.6,325.8,21353020,6.96E+14,21.87,1528.7,1555.50,1510.75,1534.70
04-04-2000,RELIANCE,EQ,328.6,326,326,302.35,302.35,302.35,310.24,13530488,4.20E+14,-15.56,1534.05,1534.05,1420.85,1428.10
05-04-2000,RELIANCE,EQ,302.35,303.4,312,278.25,301,302.25,296.71,25186375,7.47E+14,-13.53,1428.5,1467.40,1391.65,1434.60
06-04-2000,RELIANCE,EQ,302.25,303,326.45,302.55,326.45,326.15,312.99,16239068,5.08E+14,16.28,1436.15,1475.25,1381.05,1452.90
07-04-2000,RELIANCE,EQ,326.15,329.8,352.25,329.8,352.25,352.25,347.35,11686144,4.06E+14,34.36,1453.3,1558.05,1453.30,1557.10
10-04-2000,RELIANCE,EQ,352.25,369.9,380,359.5,363.45,364.55,369.31,22110719,8.17E+14,21.96,1557.55,1636.95,1557.55,1613.00
11-04-2000,RELIANCE,EQ,364.55,358,359,346.5,358,353.75,353.38,9759550,3.45E+14,-15.93,1613,1631.60,1550.85,1624.60
12-04-2000,RELIANCE,EQ,353.75,357,360,334.4,335.4,337.95,346.8,17263869,5.99E+14,-6.58,1624.4,1628.55,1586.00,1592.70
13-04-2000,RELIANCE,EQ,337.95,331.1,331.1,310.95,310.95,310.95,311.28,225213,7.01E+12,-35.52,1587.95,1587.95,1502.70,1518.60
17-04-2000,RELIANCE,EQ,310.95,286.1,300.8,286.1,297,298.4,293.04,15931668,4.67E+14,-18.24,1518.55,1518.55,1412.45,1443.50
18-04-2000,RELIANCE,EQ,298.4,297.1,308.9,294,299,300.05,302.75,8775778,2.66E+14,9.71,1443.55,1478.85,1410.00,1414.80
19-04-2000,RELIANCE,EQ,300.05,307.7,324.05,303.1,316,314.85,314.54,16293725,5.13E+14,11.79,1417.75,1469.05,1375.05,1404.90
20-04-2000,RELIANCE,EQ,314.85,313,340.05,309.25,340.05,337.75,323.07,19387991,6.26E+14,8.53,1405.7,1425.55,1339.75,1415.60
24-04-2000,RELIANCE,EQ,337.75,346,360.6,323,323.6,336.95,348.95,17618258,6.15E+14,25.88,1416.05,1431.80,1371.85,1388.00
25-04-2000,RELIANCE,EQ,336.95,322.3,339.5,311.65,333,332.05,320.47,15809540,5.07E+14,-28.48,1383.8,1383.80,1311.30,1359.40
26-04-2000,RELIANCE,EQ,332.05,340,358.65,340,358.65,357.95,352.57,16998445,5.99E+14,32.1,1362.5,1439.05,1362.50,1436.10
